timestamp,open,high,low,close,volume
2024-09-26,4e-06,4e-06,4e-06,4e-06,0.0
2024-09-27,4e-06,4e-06,4e-06,4e-06,0.0
2024-09-28,4e-06,4e-06,4e-06,4e-06,0.0
2024-09-29,4e-06,4e-06,4e-06,4e-06,0.0
2024-09-30,4e-06,4e-06,4e-06,4e-06,0.0
2024-10-01,4e-06,4e-06,4e-06,4e-06,0.0
2024-10-02,4e-06,4e-06,4e-06,4e-06,0.0
2024-10-03,4e-06,4e-06,4e-06,4e-06,0.0
2024-10-04,4e-06,4e-06,4e-06,4e-06,0.0
2024-10-05,4e-06,4e-06,4e-06,4e-06,0.0
2024-10-06,4e-06,4e-06,4e-06,4e-06,0.0
2024-10-07,4e-06,4e-06,4e-06,4e-06,0.0
2024-10-08,1e-06,1e-06,1e-06,1e-06,390968.14
2024-10-09,1e-06,1e-06,1e-06,1e-06,0.0
2024-10-10,1e-06,1e-06,1e-06,1e-06,0.0
2024-10-11,1e-06,1e-06,1e-06,1e-06,0.0
2024-10-12,1e-06,1e-06,1e-06,1e-06,0.0
2024-10-13,1e-06,1e-06,1e-06,1e-06,0.0
2024-10-14,1e-06,1e-06,1e-06,1e-06,0.0
2024-10-15,3e-06,3e-06,3e-06,3e-06,373391.63
2024-10-16,3e-06,3e-06,3e-06,3e-06,0.0
2024-10-17,3e-06,3e-06,3e-06,3e-06,469897.68
2024-10-18,3e-06,3e-06,3e-06,3e-06,0.0
2024-10-19,1.2e-05,4e-05,1.2e-05,2e-05,35289766.43
2024-10-20,1.9e-05,1.9e-05,8e-06,8e-06,907134.53
2024-10-21,8e-06,8e-06,8e-06,8e-06,0.0
2024-10-22,2e-05,4e-05,1.1e-05,1.1e-05,5108572.79
2024-10-23,1.1e-05,1.1e-05,1.1e-05,1.1e-05,0.0
2024-10-24,3.9e-05,3.9e-05,1.1e-05,1.1e-05,1647506.17
2024-10-25,3.9e-05,5.4e-05,1.4e-05,5.4e-05,66479043.88
2024-10-26,5.6e-05,5.7e-05,1.8e-05,3.7e-05,5635803.12
2024-10-27,1.9e-05,2.8e-05,1.8e-05,2.8e-05,3952567.31
2024-10-28,1.9e-05,5.3e-05,5e-06,5.1e-05,52102755.62
2024-10-29,2.5e-05,5.4e-05,2.3e-05,2.3e-05,5052983.56
2024-10-30,2.9e-05,2.9e-05,2.8e-05,2.9e-05,1077538.87
2024-10-31,2.8e-05,2.9e-05,2.8e-05,2.8e-05,957352.95
2024-11-01,2.8e-05,2.8e-05,2.8e-05,2.8e-05,0.0
2024-11-02,2.8e-05,2.8e-05,2.8e-05,2.8e-05,0.0
2024-11-03,2.8e-05,2.8e-05,2.8e-05,2.8e-05,0.0
2024-11-04,2.7e-05,2.7e-05,2.5e-05,2.5e-05,2062359.64
2024-11-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,0.0
2024-11-06,2.5e-05,2.5e-05,2.5e-05,2.5e-05,0.0
2024-11-07,2.9e-05,2.9e-05,2.8e-05,2.8e-05,390969.37
2024-11-08,2.9e-05,2.9e-05,2.8e-05,2.8e-05,1703596.05
2024-11-09,2.9e-05,2.9e-05,1.9e-05,1.9e-05,3790574.72
2024-11-10,1.9e-05,1.9e-05,1.9e-05,1.9e-05,0.0
2024-11-11,4.5e-05,4.5e-05,1.9e-05,1.9e-05,1794368.91
2024-11-12,1.9e-05,1.9e-05,1.9e-05,1.9e-05,0.0
2024-11-13,1.8e-05,1.8e-05,1.8e-05,1.8e-05,678170.63
2024-11-14,2.2e-05,2.3e-05,1.9e-05,1.9e-05,4142188.45
2024-11-15,2.5e-05,2.8e-05,2.5e-05,2.8e-05,1213008.39
2024-11-16,2.8e-05,2.8e-05,2.8e-05,2.8e-05,0.0
2024-11-17,2.8e-05,2.8e-05,2.8e-05,2.8e-05,0.0
2024-11-18,2e-05,2e-05,2e-05,2e-05,3899998.0
2024-11-19,1.9e-05,2e-05,1.9e-05,2e-05,1472655.67
2024-11-20,2e-05,2e-05,2e-05,2e-05,0.0
2024-11-21,2e-05,2e-05,2e-05,2e-05,0.0
2024-11-22,2e-05,2e-05,2e-05,2e-05,0.0
2024-11-23,1.9e-05,1.9e-05,1.8e-05,1.8e-05,80757063.16
2024-11-24,1.8e-05,1.8e-05,1.8e-05,1.8e-05,0.0
2024-11-25,1.8e-05,1.8e-05,1.8e-05,1.8e-05,0.0
2024-11-26,1.8e-05,1.8e-05,1.8e-05,1.8e-05,0.0
